station_id,month,day,temperature,flag,date,city
USC00042319,01,1,51,S,0000-01-01,Death Valley
USC00042319,01,2,51.2,S,0000-01-02,Death Valley
USC00042319,01,3,51.3,S,0000-01-03,Death Valley
USC00042319,01,4,51.4,S,0000-01-04,Death Valley
USC00042319,01,5,51.6,S,0000-01-05,Death Valley
USC00042319,01,6,51.7,S,0000-01-06,Death Valley
USC00042319,01,7,51.9,S,0000-01-07,Death Valley
USC00042319,01,8,52,S,0000-01-08,Death Valley
USC00042319,01,9,52.2,S,0000-01-09,Death Valley
USC00042319,01,10,52.3,S,0000-01-10,Death Valley
USC00042319,01,11,52.5,S,0000-01-11,Death Valley
USC00042319,01,12,52.7,S,0000-01-12,Death Valley
USC00042319,01,13,52.9,S,0000-01-13,Death Valley
USC00042319,01,14,53,S,0000-01-14,Death Valley
USC00042319,01,15,53.2,S,0000-01-15,Death Valley
USC00042319,01,16,53.4,S,0000-01-16,Death Valley
USC00042319,01,17,53.6,S,0000-01-17,Death Valley
USC00042319,01,18,53.7,S,0000-01-18,Death Valley
USC00042319,01,19,53.9,S,0000-01-19,Death Valley
USC00042319,01,20,54.1,S,0000-01-20,Death Valley
USC00042319,01,21,54.3,S,0000-01-21,Death Valley
USC00042319,01,22,54.5,S,0000-01-22,Death Valley
USC00042319,01,23,54.6,S,0000-01-23,Death Valley
USC00042319,01,24,54.8,S,0000-01-24,Death Valley
USC00042319,01,25,55,S,0000-01-25,Death Valley
USC00042319,01,26,55.2,S,0000-01-26,Death Valley
USC00042319,01,27,55.4,S,0000-01-27,Death Valley
USC00042319,01,28,55.6,S,0000-01-28,Death Valley
USC00042319,01,29,55.8,S,0000-01-29,Death Valley
USC00042319,01,30,56,S,0000-01-30,Death Valley
USC00042319,01,31,56.2,S,0000-01-31,Death Valley
USC00042319,02,1,56.4,S,0000-02-01,Death Valley
USC00042319,02,2,56.6,S,0000-02-02,Death Valley
USC00042319,02,3,56.8,S,0000-02-03,Death Valley
USC00042319,02,4,57,S,0000-02-04,Death Valley
USC00042319,02,5,57.2,S,0000-02-05,Death Valley
USC00042319,02,6,57.5,S,0000-02-06,Death Valley
USC00042319,02,7,57.7,S,0000-02-07,Death Valley
USC00042319,02,8,57.9,S,0000-02-08,Death Valley
USC00042319,02,9,58.2,S,0000-02-09,Death Valley
USC00042319,02,10,58.4,S,0000-02-10,Death Valley
USC00042319,02,11,58.7,S,0000-02-11,Death Valley
USC00042319,02,12,58.9,S,0000-02-12,Death Valley
USC00042319,02,13,59.2,S,0000-02-13,Death Valley
USC00042319,02,14,59.5,S,0000-02-14,Death Valley
USC00042319,02,15,59.8,S,0000-02-15,Death Valley
USC00042319,02,16,60.1,S,0000-02-16,Death Valley
USC00042319,02,17,60.3,S,0000-02-17,Death Valley
USC00042319,02,18,60.6,S,0000-02-18,Death Valley
USC00042319,02,19,60.9,S,0000-02-19,Death Valley
USC00042319,02,20,61.2,S,0000-02-20,Death Valley
USC00042319,02,21,61.6,S,0000-02-21,Death Valley
USC00042319,02,22,61.9,S,0000-02-22,Death Valley
USC00042319,02,23,62.2,S,0000-02-23,Death Valley
USC00042319,02,24,62.5,S,0000-02-24,Death Valley
USC00042319,02,25,62.8,S,0000-02-25,Death Valley
USC00042319,02,26,63.2,S,0000-02-26,Death Valley
USC00042319,02,27,63.5,S,0000-02-27,Death Valley
USC00042319,02,28,63.8,S,0000-02-28,Death Valley
USC00042319,02,29,64,S,0000-02-29,Death Valley
USC00042319,03,1,64.1,S,0000-03-01,Death Valley
USC00042319,03,2,64.5,S,0000-03-02,Death Valley
USC00042319,03,3,64.8,S,0000-03-03,Death Valley
USC00042319,03,4,65.1,S,0000-03-04,Death Valley
USC00042319,03,5,65.4,S,0000-03-05,Death Valley
USC00042319,03,6,65.7,S,0000-03-06,Death Valley
USC00042319,03,7,66,S,0000-03-07,Death Valley
USC00042319,03,8,66.3,S,0000-03-08,Death Valley
USC00042319,03,9,66.7,S,0000-03-09,Death Valley
USC00042319,03,10,67,S,0000-03-10,Death Valley
USC00042319,03,11,67.2,S,0000-03-11,Death Valley
USC00042319,03,12,67.5,S,0000-03-12,Death Valley
USC00042319,03,13,67.8,S,0000-03-13,Death Valley
USC00042319,03,14,68.1,S,0000-03-14,Death Valley
USC00042319,03,15,68.4,S,0000-03-15,Death Valley
USC00042319,03,16,68.6,S,0000-03-16,Death Valley
USC00042319,03,17,68.9,S,0000-03-17,Death Valley
USC00042319,03,18,69.2,S,0000-03-18,Death Valley
USC00042319,03,19,69.4,S,0000-03-19,Death Valley
USC00042319,03,20,69.7,S,0000-03-20,Death Valley
USC00042319,03,21,69.9,S,0000-03-21,Death Valley
USC00042319,03,22,70.1,S,0000-03-22,Death Valley
USC00042319,03,23,70.4,S,0000-03-23,Death Valley
USC00042319,03,24,70.6,S,0000-03-24,Death Valley
USC00042319,03,25,70.8,S,0000-03-25,Death Valley
